short;long
Adv. Model. Simul. Eng. Sci.;Advanced Modeling and Simulation in Engineering Sciences
J. Simulation;Journal of Simulation
Simul. Model. Pract. Theory;Simulation Practice and Theory
Simul. Notes Eur.;Simulation Notes Europe
Int. J. Gaming Comput. Mediat. Simulations;International Journal of Gaming and Computer-Mediated Simulations
Rev. Avances en Sistemas Informática;Revista Avances en Sistemas e Informática
Int. J. Space Based Situated Comput.;International Journal of Space-Based and Situated Computing
Scand. J. Inf. Syst.;Scandinavian Journal of Information Systems
Int. J. Concept. Struct. Smart Appl.;International Journal of Conceptual Structures and Smart Applications
Smart Comput. Rev.;Smart Computing Review
Interact. Technol. Smart Educ.;Interactive Technology and Smart Education
J. Ambient Intell. Smart Environ.;Journal of Ambient Intelligence and Smart Environments
IEEE Trans. Smart Grid;IEEE Transactions on Smart Grid
Smart Learn. Environ.;Smart Learning Environments
SN Comput. Sci.;SN Computer Science
Simul. Notes Eur.;Simulation Notes Europe
Int. J. Soc. Humanist. Comput.;International Journal of Social and Humanistic Computing
Int. J. Soc. Organ. Dyn. IT;International Journal of Social and Organizational Dynamics in IT
Int. J. Inf. Syst. Soc. Chang.;International Journal of Information Systems and Social Change
Soc. Choice Welf.;Social Choice and Welfare
ACM Trans. Soc. Comput.;ACM Transactions on Social Computing
Int. J. Soc. Comput. Cyber Phys. Syst.;International Journal of Social Computing and Cyber-Physical Systems
J. Soc. Comput.;Journal of Social Computing
Int. J. Soc. Media Interact. Learn. Environ.;International Journal of Social Media and Interactive Learning Environments
Soc. Netw. Anal. Min.;Social Network Analysis and Mining
Int. J. Soc. Netw. Min.;International Journal of Social Network Mining
Int. J. Virtual Communities Soc. Netw.;International Journal of Virtual Communities and Social Networking
Soc. Networks;Social Networks
Int. J. Soc. Robotics;International Journal of Social Robotics
J. Artif. Soc. Soc. Simul.;The Journal of Artificial Societies and Social Simulation
J. Soc. Struct.;Journal of Social Structure
IEEE Trans. Comput. Soc. Syst.;IEEE Transactions on Computational Social Systems
IEEE Technol. Soc. Mag.;IEEE Technology and Society Magazine
New Media Soc.;New Media & Society
Int. J. Sociotechnology Knowl. Dev.;International Journal of Sociotechnology and Knowledge Development
Soft Comput.;Soft Computing
Appl. Comput. Intell. Soft Comput.;Applied Computational Intelligence and Soft Computing
Int. J. Artif. Intell. Soft Comput.;International Journal of Artificial Intelligence and Soft Computing
Int. J. Knowl. Eng. Soft Data Paradigms;International Journal of Knowledge Engineering and Soft Data Paradigms
Softw. Concepts Tools;Structured Programming
Softw. Pract. Exp.;Software - Practice and Experience
Int. J. Softw. Informatics;International Journal of Software and Informatics
Softw. Syst. Model.;Software and Systems Modeling
LNCS Trans. Aspect Oriented Softw. Dev.;LNCS Transactions on Aspect-Oriented Software Development
Adv. Softw. Eng.;Advances in Software Engineering
J. Softw. Eng. Appl.;Journal of Software Engineering and Applications
Int. J. Softw. Eng. Knowl. Eng.;International Journal of Software Engineering and Knowledge Engineering
ACM Trans. Softw. Eng. Methodol.;ACM Transactions on Software Engineering and Methodology
Ann. Softw. Eng.;Annals of Software Engineering
Empir. Softw. Eng.;Empirical Software Engineering
IEEE Trans. Software Eng.;IEEE Transactions on Software Engineering
Innov. Syst. Softw. Eng.;Innovations in Systems and Software Engineering
Int. J. Agent Oriented Softw. Eng.;International Journal of Agent-Oriented Software Engineering
Softw. Eng. J.;Software & Microsystems
e Informatica Softw. Eng. J.;e-Informatica Software Engineering Journal
ACM SIGSOFT Softw. Eng. Notes;ACM SIGSOFT Software Engineering Notes
J. Softw. Eng. Res. Dev.;Journal of Software Engineering Research and Development
J. Softw. Evol. Process.;Journal of Software Maintenance and Evolution: Research and Practice – Journal of Software Maintenance: Research and Practice
Softw. Focus;Software Focus
IEEE Softw.;IEEE Software
IET Softw.;IET Software
Softw. Impacts;Software Impacts
Int. J. Softw. Innov.;International Journal of Software Innovation
J. Softw.;Journal of Software
Softw. Microsystems;Software & Microsystems
Optim. Methods Softw.;Optimization Methods and Software
Softw. Process. Improv. Pract.;Software Process: Improvement and Practice
Softw. Qual. J.;Software Quality Journal
Int. J. Softw. Sci. Comput. Intell.;International Journal of Software Science and Computational Intelligence
Electron. Commun. Eur. Assoc. Softw. Sci. Technol.;Electronic Communication of the European Association of Software Science and Technology
Softw. Test. Verification Reliab.;Software Testing, Verification & Reliability
Int. J. Softw. Tools Technol. Transf.;International Journal on Software Tools for Technology Transfer
Softwaretechnik-Trends;Softwaretechnik-Trends
SoftwareX;SoftwareX
IEEE J. Solid State Circuits;IEEE Journal of Solid-State Circuits
Source Code Biol. Medicine;Source Code for Biology and Medicine
South Afr. Comput. J.;South African Computer Journal
Space Commun.;Space Communications
Int. J. Space Based Situated Comput.;International Journal of Space-Based and Situated Computing
ACM Trans. Spatial Algorithms Syst.;ACM Transactions on Spatial Algorithms and Systems
Spatial Cogn. Comput.;Spatial Cognition & Computation
Int. J. Spatial Data Infrastructures Res.;International Journal of Spatial Data Infrastructures Research
J. Spatial Inf. Sci.;Journal of Spatial Information Science
Softw. Pract. Exp.;Software - Practice and Experience
ACM Trans. Speech Lang. Process.;ACM Transactions on Speech and Language Processing
EURASIP J. Audio Speech Music. Process.;EURASIP Journal on Audio, Speech, and Music Processing
Speech Commun.;Speech Communication
Int. J. Speech Technol.;International Journal of Speech Technology
Int. J. IT Stand. Stand. Res.;International Journal of IT Standards and Standardization Research
Int. J. IT Stand. Stand. Res.;International Journal of IT Standards and Standardization Research
ACM Stand.;ACM StandardView
Stat. Anal. Data Min.;Statistical Analysis and Data Mining
Stat. Methods Appl.;Statistical Methods and Applications
J. Stat. Theory Appl.;Journal of Statistical Theory and Applications
Commun. Stat. Simul. Comput.;Communications in Statistics - Simulation and Computation
Model. Assist. Stat. Appl.;Model Assisted Statistics and Applications
Stat. Comput.;Statistics and Computing
Found. Trends Stoch. Syst.;Foundations and Trends in Stochastic Systems
Finance Stochastics;Finance and Stochastics
ACM Trans. Storage;ACM Transactions on Storage
Int. J. Strateg. Decis. Sci.;International Journal of Strategic Decision Sciences
J. Strateg. Inf. Syst.;The Journal of Strategic Information Systems
Int. J. Strateg. Inf. Technol. Appl.;International Journal of Strategic Information Technology and Applications
Int. J. Data Anal. Tech. Strateg.;International Journal of Data Analysis Techniques and Strategies
Int. J. Softw. Tools Technol. Transf.;International Journal on Software Tools for Technology Transfer
Stud. Inform. Univ.;Studia Informatica Universalis
Stud Logica;Studia Logica
Softw. Test. Verification Reliab.;Software Testing, Verification & Reliability
Supercomput. Front. Innov.;Supercomputing Frontiers and Innovations
J. Supercomput.;The Journal of Supercomputing
Int. J. Inf. Syst. Supply Chain Manag.;International Journal of Information Systems and Supply Chain Management
Int. J. Bus. Perform. Supply Chain Model.;International Journal of Business Performance and Supply Chain Modelling
Sustain. Comput. Informatics Syst.;Sustainable Computing: Informatics and Systems
IEEE Trans. Sustain. Comput.;IEEE Transactions on Sustainable Computing
Sustain. Comput. Informatics Syst.;Sustainable Computing: Informatics and Systems
Swarm Evol. Comput.;Swarm and Evolutionary Computation
Swarm Intell.;Swarm Intelligence
Int. J. Swarm Intell. Res.;International Journal of Swarm Intelligence Research
J. Symb. Comput.;Journal of Symbolic Computation
J. Symb. Log.;The Journal of Symbolic Logic
Symmetry;Symmetry
Synth.;Synthese
Int. J. Synth. Emot.;International Journal of Synthetic Emotions
Int. J. Syst. Assur. Eng. Manag.;International Journal of System Assurance Engineering and Management
Int. J. Syst. Dyn. Appl.;International Journal of System Dynamics Applications
IPSJ Trans. Syst. LSI Des. Methodol.;IPSJ Transactions on System LSI Design Methodology
Int. J. Commun. Netw. Syst. Sci.;International Journal of Communications, Network and System Sciences
Syst.;Systems
ACM Trans. Spatial Algorithms Syst.;ACM Transactions on Spatial Algorithms and Systems
Syst. Comput. Jpn.;Systems and Computers in Japan
J. Syst. Control. Eng.;Journal of Systems and Control Engineering
Found. Trends Syst. Control.;Foundations and Trends in Systems and Control
J. Syst. Inf. Technol.;Journal of Systems and Information Technology
Int. J. Syst. Serv. Oriented Eng.;International Journal of Systems and Service-Oriented Engineering
Innov. Syst. Softw. Eng.;Innovations in Systems and Software Engineering
J. Syst. Softw.;Journal of Systems and Software
Int. J. Syst. Softw. Secur. Prot.;International Journal of Systems and Software Security and Protection
Int. J. Inf. Technol. Syst. Approach;International Journal of Information Technologies and Systems Approach
J. Syst. Archit.;Journal of Systems Architecture: Embedded Software Design – Microprocessing and Microprogramming – Euromicro Newsletter
BMC Syst. Biol.;BMC Systems Biology
EURASIP J. Bioinform. Syst. Biol.;EURASIP Journal on Bioinformatics and Systems Biology
Circuits Syst.;Circuits and Systems
Syst. Control. Lett.;Systems & Control Letters
Cybern. Syst.;Cybernetics and Systems
Syst. Eng.;Systems Engineering
Evol. Syst.;Evolving Systems
IEEE Trans. Circuits Syst. Video Technol.;IEEE Transactions on Circuits and Systems for Video Technology
Health Inf. Sci. Syst.;Health Information Science and Systems
IEEE J. Emerg. Sel. Topics Circuits Syst.;IEEE Journal of Emerging and Selected Topics in Circuits and Systems
IEEE Trans. Biomed. Circuits Syst.;IEEE Transactions on Biomedical Circuits and Systems
IET Circuits Devices Syst.;IET Circuits, Devices & Systems
J. Syst. Integr.;Journal of Systems Integration
Int. J. Agent Technol. Syst.;International Journal of Agent Technologies and Systems
Int. J. Ultra Wideband Commun. Syst.;International Journal of Ultra Wideband Communications and Systems
IEEE Syst. J.;IEEE Systems Journal
IEEE Trans. Syst. Man Cybern. Syst.;IEEE Transactions on Systems, Man, and Cybernetics, Part A – IEEE Transactions on Systems, Man, and Cybernetics
Inf. Knowl. Syst. Manag.;Information, Knowledge, Systems Management
J. Netw. Syst. Manag.;Journal of Network and Systems Management
Softw. Syst. Model.;Software and Systems Modeling
J. Syst. Res.;Journal of Systems Research
Int. Trans. Syst. Sci. Appl.;International Transactions on Systems Science and Applications
J. Syst. Sci. Complex.;Journal of Systems Science and Complexity
IEEE Trans. Syst. Sci. Cybern.;IEEE Transactions on Systems Science and Cybernetics
Int. J. Syst. Sci.;International Journal of Systems Science
Int. J. Knowl. Syst. Sci.;International Journal of Knowledge and Systems Science
ACM Trans. Auton. Adapt. Syst.;ACM Transactions on Autonomous and Adaptive Systems
ACM Trans. Access. Comput.;ACM Transactions on Accessible Computing
ACM Trans. Archit. Code Optim.;ACM Transactions on Architecture and Code Optimization
ACM Trans. Algorithms;ACM Transactions on Algorithms
ACM Trans. Appl. Percept.;ACM Transactions on Applied Perception
Theory Pract. Object Syst.;TAPOS - Theory and Practice of Object Systems
Trans. Comput. Collect. Intell.;LNCS Transactions on Computational Collective Intelligence
Bull. IEEE Tech. Comm. Digit. Libr.;Bulletin of the IEEE Technical Committee on Digital Libraries
IACR Trans. Cryptogr. Hardw. Embed. Syst.;IACR Transactions on Cryptographic Hardware and Embedded Systems
ACM Trans. Cyber Phys. Syst.;ACM Transactions on Cyber-Physical Systems
Trans. Comput. Sci.;LNCS Transactions on Computational Science
Trans. Comp. Sys. Biology;LNBI Transactions on Computational Systems Biology
IEEE Trans. Control. Syst. Technol.;IEEE Transactions on Control Systems Technology
Trans. Data Sci.;ACM/IMS Transactions on Data Science
Int. J. Web Based Learn. Teach. Technol.;International Journal of Web-Based Learning and Teaching Technologies
Bull. IEEE Tech. Comm. Digit. Libr.;Bulletin of the IEEE Technical Committee on Digital Libraries
Tech. Sci. Informatiques;Technique et Science Informatiques
Int. J. Technoethics;International Journal of Technoethics
Int. J. Distributed Syst. Technol.;International Journal of Distributed Systems and Technologies
Int. J. Interact. Commun. Syst. Technol.;International Journal of Interactive Communication Systems and Technologies
Int. J. Robotics Appl. Technol.;International Journal of Robotics Applications and Technologies
Technol. Anal. Strateg. Manag.;Technology Analysis & Strategic Management
Int. J. Technol. Educ. Mark.;International Journal of Technology and Educational Marketing
Int. J. Technol. Hum. Interact.;International Journal of Technology and Human Interaction
IEEE Technol. Soc. Mag.;IEEE Technology and Society Magazine
Int. J. Inf. Technol. Commun. Convergence;International Journal of Information Technology, Communications and Convergence
Int. J. Technol. Diffusion;International Journal of Technology Diffusion
Int. J. Qual. Assur. Eng. Technol. Educ.;International Journal of Quality Assurance in Engineering and Technology Education
Electron. Commun. Eur. Assoc. Softw. Sci. Technol.;Electronic Communication of the European Association of Software Science and Technology
Found. Trends Technol. Inf. Oper. Manag.;Foundations and Trends in Technology, Information and Operations Management
Int. J. Arts Technol.;International Journal of Arts and Technology
Int. J. Comput. Appl. Technol.;International Journal of Computer Applications in Technology
Int. J. Serv. Sci. Manag. Eng. Technol.;International Journal of Service Science, Management, Engineering, and Technology
Technol. Knowl. Learn.;International Journal of Computers for Mathematical Learning
Int. J. Technol. Manag.;International Journal of Technology Management
